Sensor Reference,Sensor Type,Street location,Column number,Easting,Northing
1,Vivacity sensor,362 Mill Rd,L6RAS,52.19651,0.15303
2,Vivacity sensor,Mill Rd (SO 1 Mortimer Rd) ,L62RAS,52.20192,0.13245
3,Vivacity sensor,108 Coleridge Rd,L10RCI,52.19093,0.14592
4,Vivacity sensor,114 Vinery Rd,L11RJJ,52.19999,0.15257
5,Vivacity sensor,2 Tenison Rd,L1SAI (1),52.19994,0.13679
6,Vivacity sensor,OP 6 Station Rd,L2SAO,52.194855,0.132876
7,Vivacity sensor,151/153 Coldhams Ln,L36RJD,52.20377,0.15201
8,Vivacity sensor,117 Cherry Hinton Rd,L13RCH,52.18832,0.14227
10,Vivacity sensor,142 Perne Road,L21RIW,52.19239,0.15467
11,Vivacity sensor,O/S ARU East Road,L29RBS,52.20407,0.13294
12,Vivacity sensor,41 Histon Road,L6WAS,52.21561,0.11089
13,Vivacity sensor,55 Devonshire Rd,L11RCD,52.19624,0.13713
14,Vivacity sensor,214 Milton Rd,L37RCG,52.22063,0.13416
15,Vivacity sensor,140 Hills Rd,L58SAN (39A),52.19008,0.13534
16,Vivacity sensor,560 Newmarket Road,L104RCA,52.21288,0.15674
